company,zone,circle,division,subdivision,temporaryAccountId,tempDateOfRegistration,parentAccountId,childAccountCount,dateOfRegistration,plotAreaSqft,noOfFloors,dateOfService,regionType,loadKW,tariff,flag,predicted_flag
BESCOM,BMAZ NORTH,BANGALORE NORTH,JALAHALLI,C3 JALAHALLI, , ,6922525079,3,25-06-2026,NA,NA,,GBA,7,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE SOUTH,HSR LAYOUT,S8 BOMMANAHALLI, , ,8773406171,6,25-06-2026,NA,NA,,GBA,16,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE SOUTH,KORAMANGALA,S7 MURGESHPALYA, , ,5454245502,13,25-06-2026,NA,NA,,GBA,23,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,CTAZ,TUMKUR,TIPTUR,TIPTUR, , ,3158439377,2,25-06-2026,NA,NA,,ULB,5,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE WEST,RAJARAJESHWARINAGARA,W1 AVALAHALLI, , ,8653171658,5,25-06-2026,NA,NA,,GBA,16,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE WEST,KENGERI,K4 RR LAYOUT, , ,7937167074,7,25-06-2026,NA,NA,,GBA,15,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ NORTH,BANGALORE NORTH,PEENNYA,N4 PEENYA, , ,6309052627,5,25-06-2026,NA,NA,,GBA,10,LT-1,New Registration & Service Pending,New Registration & Service Pending
MESCOM,MANGALURU ZONE,SHIVAMMOGA CIRCLE,SHIVAMMOGA DIVISION,SHIVAMMOGA CITY SUBDIVISION-3, , ,7364232640,1,25-06-2026,NA,NA,,ULB,3,LT-1,New Registration & Service Pending,New Registration & Service Pending
MESCOM,MANGALURU ZONE,CHIKKAMAGALURU CIRCLE,CHIKKAMAGALURU DIVISION,CHIKKMAGALURU URBAN SUBDIVISION, , ,4808190641,6,25-06-2026,NA,NA,,ULB,10,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ NORTH,BANGALORE NORTH,PEENNYA,N4 PEENYA, , ,6286077402,3,25-06-2026,NA,NA,,GBA,8,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ NORTH,BANGALORE EAST,SHIVAJINAGAR,E13 HENNUR SDO, , ,2562618931,1,25-06-2026,NA,NA,,GBA,3,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,CTAZ,TUMKUR,TUMKUR,TUMKUR URBAN SUB DIVISION2, , ,6641088977,3,25-06-2026,NA,NA,,ULB,5,LT-1,New Registration & Service Pending,New Registration & Service Pending
HESCOM,HUBLI,HUBLI,HUBLI-URBAN DIVISION,CITY SUB-DIVISION-3 HUBLI, , ,4353668480,7,25-06-2026,0,2,,ULB,15,LT-1,Eligible under G.O-1,Eligible under G.O-1
HESCOM,BELGAUM,BELGAUM,BAILHONGAL DIVISION,RAMDURG SUB-DIVISION, , ,5591782326,1,25-06-2026,NA,NA,,ULB,1,LT-1,New Registration & Service Pending,New Registration & Service Pending
HESCOM,BELGAUM,BELGAUM,BAILHONGAL DIVISION,RAMDURG SUB-DIVISION, , ,1054387513,1,25-06-2026,NA,NA,,ULB,2,LT-1,New Registration & Service Pending,New Registration & Service Pending
GESCOM,GULBARGA,BIDAR,BIDAR,BIDAR, , ,2577703725,1,25-06-2026,NA,NA,,ULB,1,LT-1,New Registration & Service Pending,New Registration & Service Pending
HESCOM,BELGAUM,BELGAUM,BAILHONGAL DIVISION,RAMDURG SUB-DIVISION, , ,8952155013,1,25-06-2026,NA,NA,,ULB,2,LT-1,New Registration & Service Pending,New Registration & Service Pending
HESCOM,BELGAUM,BAGALKOT,JAMKHANDI,JAMKHANDI SUB-DIVISION, , ,2441789954,1,25-06-2026,NA,NA,,ULB,1,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,CTAZ,DAVANAGERE,CHITRADURGA,CHITRADURGA URBAN, , ,8725348873,9,25-06-2026,NA,NA,,ULB,17,LT-1,New Registration & Service Pending,New Registration & Service Pending
MESCOM,MANGALURU ZONE,CHIKKAMAGALURU CIRCLE,CHIKKAMAGALURU DIVISION,CHIKKMAGALURU URBAN SUBDIVISION, , ,4227207226,1,24-06-2026,NA,NA,,ULB,2,LT-1,New Registration & Service Pending,New Registration & Service Pending
MESCOM,MANGALURU ZONE,CHIKKAMAGALURU CIRCLE,CHIKKAMAGALURU DIVISION,CHIKKMAGALURU URBAN SUBDIVISION, , ,4439108395,1,24-06-2026,NA,NA,,ULB,2,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ NORTH,BANGALORE NORTH,HEBBALA,C7 YALAHANKA, , ,5103291835,1,24-06-2026,NA,NA,,RLB,2,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ NORTH,BANGALORE NORTH,HEBBALA,C7 YALAHANKA, , ,5041106947,8,24-06-2026,NA,NA,,RLB,12,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ NORTH,BANGALORE NORTH,HEBBALA,C7 YALAHANKA, , ,1638045471,2,24-06-2026,NA,NA,,RLB,6,LT-1,New Registration & Service Pending,New Registration & Service Pending
HESCOM,BELGAUM,BELGAUM,BELGAUM-URBAN DIVISION,CITY SUB-DIVISION-3 BELGAUM, , ,8670881952,1,24-06-2026,NA,NA,,ULB,7,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ NORTH,BANGALORE EAST,SHIVAJINAGAR,E13 HENNUR SDO, , ,9289448245,4,24-06-2026,NA,NA,,GBA,14,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE SOUTH,KORAMANGALA,S7 MURGESHPALYA, , ,47591781,1,24-06-2026,NA,NA,,GBA,5,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE SOUTH,KORAMANGALA,S7 MURGESHPALYA, , ,3405136310,1,24-06-2026,NA,NA,,GBA,5,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE SOUTH,KORAMANGALA,S7 MURGESHPALYA, , ,1392624350,1,24-06-2026,NA,NA,,GBA,5,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE SOUTH,KORAMANGALA,S7 MURGESHPALYA, , ,1200172842,1,24-06-2026,NA,NA,,GBA,5,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE SOUTH,KORAMANGALA,S7 MURGESHPALYA, , ,7390181224,1,24-06-2026,NA,NA,,GBA,5,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE SOUTH,KORAMANGALA,S7 MURGESHPALYA, , ,5564326178,1,24-06-2026,NA,NA,,GBA,5,LT-1,New Registration & Service Pending,New Registration & Service Pending
